                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.99253,                0.51831,                0.86607,                 0.6908,                0.60998,                0.64428,                0.45593,                 1.2556,                0.85279,                0.91859,               0.006436,               0.006436,               0.006436
                     38,                0.98679,                0.51209,                 0.8646,                0.66244,                0.62165,                0.64889,                 0.4594,                 1.2554,                0.86344,                0.91825,               0.006337,               0.006337,               0.006337
                     39,                0.98391,                 0.5104,                0.86353,                0.69622,                0.59966,                0.65092,                 0.4598,                 1.2549,                0.86326,                0.91862,               0.006238,               0.006238,               0.006238
                     40,                0.97929,                0.50843,                0.86177,                0.67382,                0.60899,                0.65058,                0.46076,                 1.2553,                 0.8625,                0.91868,               0.006139,               0.006139,               0.006139
                     41,                0.97119,                0.50229,                0.86151,                 0.6768,                0.60592,                 0.6524,                0.46096,                 1.2557,                0.86657,                0.91933,                0.00604,                0.00604,                0.00604
                     42,                0.96911,                0.50117,                0.86142,                0.68669,                0.60361,                0.65055,                0.46036,                 1.2568,                0.86597,                0.91978,               0.005941,               0.005941,               0.005941
                     43,                0.96627,                0.49876,                0.86052,                0.69142,                0.60412,                0.65031,                0.46023,                 1.2578,                0.86684,                0.91965,               0.005842,               0.005842,               0.005842
                     44,                0.96333,                0.49513,                0.85939,                0.69031,                0.60451,                0.64974,                0.46053,                 1.2575,                0.87027,                0.91918,               0.005743,               0.005743,               0.005743
                     45,                0.96105,                0.49145,                0.85937,                0.69748,                0.59983,                0.65271,                0.46262,                 1.2572,                0.87048,                0.91898,               0.005644,               0.005644,               0.005644
                     46,                0.95778,                0.49148,                0.85761,                0.69157,                0.60518,                0.65206,                0.46242,                 1.2569,                0.87362,                0.91863,               0.005545,               0.005545,               0.005545
                     47,                0.95518,                 0.4847,                0.85685,                 0.6942,                0.60165,                0.65103,                0.46292,                 1.2563,                0.87299,                 0.9186,               0.005446,               0.005446,               0.005446
                     48,                0.94663,                0.48136,                 0.8562,                0.69444,                0.60101,                0.64923,                0.46179,                 1.2552,                0.87565,                0.91812,               0.005347,               0.005347,               0.005347
                     49,                0.94167,                0.47817,                0.85549,                0.70082,                 0.5991,                0.64894,                0.46119,                 1.2548,                0.87719,                0.91804,               0.005248,               0.005248,               0.005248
                     50,                0.94145,                0.47642,                0.85587,                0.69024,                0.60461,                0.64801,                0.46086,                 1.2553,                0.87878,                0.91838,               0.005149,               0.005149,               0.005149
                     51,                0.93894,                0.47397,                0.85355,                 0.6864,                0.60494,                0.64725,                0.46118,                 1.2553,                0.88029,                0.91845,                0.00505,                0.00505,                0.00505
